Shape_ID;Top_Rad;Bottom_Rad;Angle;Edges;Height;Bevel_Offset;Bevel_Height;Bevel_Weight;T1;T2;T3;T4;T5;Average_Cd;Outcome
Shape_4247;3;52;224;52;113;-4;18;-1;0.23;0.23;0.2;0.23;0.2;0.22;Optimal
Shape_4248;10;7;335;52;251;0;0;0;0.19;0.17;0.17;0.18;0.18;0.18;Optimal
Shape_4249;76;76;327;19;315;-3;6;3;0.25;0.24;0.25;0.27;0.23;0.25;Optimal
Shape_4252;124;6;293;59;148;1;10;3;0.18;0.18;0.2;0.18;0.16;0.18;Optimal
Shape_4256;93;72;354;46;126;6;13;0;0.23;0.22;0.22;0.22;0.24;0.23;Optimal
Shape_4261;89;28;187;57;158;3;12;3;0.27;0.25;0.26;0.25;0.25;0.25;Optimal
Shape_4270;36;157;262;62;61;-1;3;3;0.22;0.21;0.22;0.2;0.21;0.22;Optimal
Shape_4280;11;77;292;25;25;7;14;0;0.2;0.22;0.23;0.24;0.21;0.22;Optimal
Shape_4286;4;33;312;10;99;-2;15;-2;0.18;0.18;0.18;0.16;0.18;0.17;Optimal
Shape_4297;94;35;343;32;302;7;19;3;0.21;0.2;0.21;0.21;0.23;0.21;Optimal
Shape_4298;66;32;303;57;250;-4;10;2;0.2;0.21;0.21;0.2;0.22;0.2;Optimal
Shape_4303;13;85;311;41;320;4;16;3;0.2;0.18;0.18;0.2;0.2;0.2;Optimal
Shape_4314;72;49;281;49;195;7;5;3;0.2;0.2;0.2;0.19;0.19;0.19;Optimal
Shape_4320;107;109;351;61;37;2;11;-2;0.17;0.18;0.19;0.19;0.19;0.19;Optimal
Shape_4328;65;15;359;14;57;1;2;0;0.19;0.19;0.18;0.18;0.16;0.18;Optimal
Shape_4336;46;55;271;45;265;2;14;2;0.22;0.25;0.24;0.25;0.23;0.24;Optimal
Shape_4340;7;167;309;54;55;4;5;1;0.22;0.21;0.2;0.2;0.23;0.21;Optimal
Shape_4342;90;66;263;59;106;-4;6;3;0.22;0.21;0.22;0.19;0.22;0.21;Optimal
Shape_4344;11;32;229;52;37;7;16;2;0.15;0.18;0.16;0.19;0.17;0.17;Optimal
Shape_4346;53;69;356;41;347;4;6;3;0.2;0.18;0.17;0.16;0.17;0.18;Optimal
Shape_4354;19;170;355;57;221;-1;11;-1;0.25;0.24;0.23;0.23;0.23;0.23;Optimal
Shape_4368;4;116;301;50;154;-1;1;3;0.16;0.19;0.16;0.17;0.16;0.17;Optimal
Shape_4371;41;11;276;23;264;6;12;-2;0.22;0.22;0.21;0.24;0.24;0.22;Optimal
Shape_4372;96;17;184;38;39;-1;2;3;0.23;0.25;0.24;0.23;0.25;0.25;Optimal
Shape_4383;107;44;357;40;126;4;2;0;0.23;0.2;0.22;0.2;0.21;0.22;Optimal
Shape_4387;53;45;279;20;40;2;2;1;0.24;0.2;0.22;0.21;0.22;0.22;Optimal
Shape_4389;80;37;318;63;312;-4;5;-2;0.18;0.21;0.19;0.22;0.22;0.2;Optimal
Shape_4393;103;38;237;45;128;-4;10;3;0.23;0.27;0.26;0.23;0.23;0.25;Optimal
Shape_4420;26;100;283;52;222;9;3;0;0.27;0.24;0.25;0.24;0.26;0.25;Optimal
Shape_4430;14;35;327;19;240;4;18;3;0.19;0.19;0.19;0.16;0.18;0.17;Optimal
Shape_4431;16;30;280;7;107;9;4;3;0.16;0.16;0.15;0.15;0.17;0.17;Optimal
Shape_4434;21;11;323;5;27;1;7;1;0.16;0.17;0.18;0.18;0.17;0.17;Optimal
Shape_4439;35;62;359;34;85;1;6;0;0.19;0.17;0.18;0.17;0.19;0.18;Optimal
Shape_4440;99;20;359;61;153;2;4;3;0.13;0.11;0.1;0.12;0.12;0.12;Optimal
Shape_4443;94;69;350;59;22;6;16;1;0.17;0.17;0.18;0.19;0.17;0.18;Optimal
Shape_4450;28;45;221;43;190;7;13;-2;0.24;0.22;0.21;0.24;0.21;0.23;Optimal
Shape_4453;73;43;177;58;74;3;2;2;0.26;0.23;0.24;0.24;0.23;0.25;Optimal
